File,rowID,Process Time [s],DateTime,Timestamp,CurrentDate,CurrentTime,CurrentState,ToolID,DimerLotID,Batch,OperatorID,BoatQTY,BatchQuality,SurfaceArea,Thickness,DimerGrams,CounterRun,VCH_A_10T,VCH_B_10T,CCH_1T,CCH_Pirani,Foreline,Run_Time,Maint_Time,VA1,VCTE,VCH,VCT,VGVA,VGVB,PyroA_UpperLowerC,PyroB_UpperLowerC,PyroA_HeaterC,PyroB_HeaterC,PyroY_HeaterC,PyroA_CF75C,PyroB_CF75C,VCH_A_DoorHeaterC,VCH_B_DoorHeaterC,VCH_A_RearHeaterC,VCH_B_RearHeaterC,VCH_A_DoorC,VCH_B_DoorC,VCH_A_FlangeHeaterC,VCH_B_FlangeHeaterC,VCH_A_PipeHeaterC,VCH_B_PipeHeaterC,BandA_FrntHeaterC,BandB_FrntHeaterC,BandA_MidHeaterC,BandB_MidHeaterC,BandA_RearHeaterC,BandB_RearHeaterC,CCH_UpperHeaterC,CCH_LowerHeaterC,CCH_ExPipeHeaterC,CCH_InPipeHeaterC,CCH_CF75C,VGVA_HeaterC,VGVB_HeaterC,VCT_HeaterC,VA1_HeaterC,PT1A_FlangeHeaterC,PT1A_PipeHeaterC,PYROA_CF40_HeaterC,PT1B_FlangeHeaterC,PT1B_PipeHeaterC,PYROB_CF40_HeaterC,Port1_PipeheaterC,Port2_PipeheaterC,Port3_PipeheaterC,Port4_PipeheaterC,ColdTrap_CanisterC,Chiller_AmbientC,Chiller_OutputC,SmartPyro
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,19032,-1579,2021-02-24T10:07:22.000Z,1614161242,2/24/2021 12:00:00 AM,10:07:22,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,197.6,169.2,144.6,0,0.18,3186.1,0,0,0,1,1,0,0,625.49,624.92,48.33,50,53.09,48.99,49.83,49.76,49.93,50.02,49.88,70.53,50.63,50.24,53.55,67.58,-32768,-32768,70.77,70.41,169.87,180.45,169.79,171.39,73.07,75.26,169.92,169.89,170.44,161.51,161.38,175.15,151.21,170.09,178.82,123.71,194.43,22.01,22.36,22.33,47.12,49.93,21.29,-101.89,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,19033,-1569,2021-02-24T10:07:32.000Z,1614161252,2/24/2021 12:00:00 AM,10:07:32,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,186.8,159.2,127.4,0,0.16,3186.1,0,0,0,1,1,0,0,625.42,625.13,48.19,49.93,53.04,49.23,49.78,50,50.05,49.93,49.88,70.6,50.46,50.87,53.12,67.44,-32768,-32768,71.35,70.41,170.22,179.6,169.77,171.57,73.02,75.19,170.14,170.04,170.59,161.43,161.41,175.17,151.01,170.04,178.9,123.49,194.51,22.06,22.33,22.51,47.15,49.81,21.21,-101.89,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,19034,-1558,2021-02-24T10:07:43.000Z,1614161263,2/24/2021 12:00:00 AM,10:07:43,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,174.8,147.2,116.56,0,0.15,3186.1,0,0,0,1,1,0,0,625.27,625.13,48.19,49.93,53.21,49.4,50.15,50.29,50.15,50.02,50.02,70.67,50.34,51.26,53.26,67.44,-32768,-32768,71.28,70.34,169.79,178.92,169.69,171.29,72.9,75.19,169.99,170.07,170.54,161.36,161.53,175.15,151.86,170.14,178.32,123.3,194.48,22.01,22.43,22.41,47.1,49.76,21.24,-101.89,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,19035,-1548,2021-02-24T10:07:53.000Z,1614161273,2/24/2021 12:00:00 AM,10:07:53,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,164.8,137.6,108.04,0,0.14,3186.1,0,0,0,1,1,0,0,625.2,624.92,48.48,49.93,53.21,49.69,50.44,50.44,49.98,50,50.02,70.6,50.12,51.18,53.41,67.44,-32768,-32768,70.92,70.26,170.02,178.2,169.79,170.99,72.82,75.34,169.97,169.94,170.64,161.14,161.63,175.17,151.68,170.04,178.3,123.12,194.36,22.13,22.36,22.63,47.24,49.76,21.29,-101.89,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,19036,-1538,2021-02-24T10:08:03.000Z,1614161283,2/24/2021 12:00:00 AM,10:08:03,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,156,129.2,100.88,0,0.13,3186.1,0,0,0,1,1,0,0,625.3,624.87,48.62,50.1,53.43,49.83,50.51,50.65,50.07,50.12,50.1,70.75,50.07,50.77,52.97,67.51,-32768,-32768,71.01,70.36,170.19,177.6,169.87,171.37,72.53,75.26,169.92,169.87,170.57,161.21,161.61,175,151.56,169.99,178.17,122.78,194.18,22.13,22.46,22.66,47.39,49.76,21.19,-101.93,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,19037,-1528,2021-02-24T10:08:13.000Z,1614161293,2/24/2021 12:00:00 AM,10:08:13,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,148.4,121.2,94.32,0,0.12,3186.1,0,0,0,1,1,0,0,625.16,625.08,48.77,50.36,53.5,49.9,50.68,50.68,49.93,49.95,50.02,70.82,49.86,50.19,52.68,67.58,-32768,-32768,71.16,70.36,169.82,176.7,169.79,170.82,72.29,75.29,170.02,169.94,170.49,160.99,161.63,175.02,151.24,169.97,178.25,122.71,193.96,22.16,22.33,22.56,47.39,49.61,21.29,-101.93,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,19038,-1517,2021-02-24T10:08:24.000Z,1614161304,2/24/2021 12:00:00 AM,10:08:24,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,140.8,114.4,88.44,0,0.11,3186.1,0,0,0,1,1,0,0,625.08,625.08,48.94,50.39,53.6,49.9,50.6,50.68,50.05,49.93,50.05,70.99,49.64,49.61,53.55,67.58,-32768,-32768,71.16,70.22,170.27,176.25,169.87,170.92,72.2,75.26,169.89,170.07,170.34,161.06,161.76,175,151.31,169.97,178.3,122.44,194.16,22.23,22.58,22.41,47.49,49.49,21.14,-101.93,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,19039,-1507,2021-02-24T10:08:34.000Z,1614161314,2/24/2021 12:00:00 AM,10:08:34,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,134.8,109.2,83.08,0,0.11,3186.1,0,0,0,1,1,0,0,625.16,624.97,48.84,50.31,53.53,49.83,50.53,50.68,50.15,50.1,49.95,71.04,49.78,49.25,53.29,67.61,-32768,-32768,70.87,70.29,169.72,175.42,170.02,170.84,72.03,75.07,169.99,170.12,170.44,161.01,161.96,175.12,151.24,170.12,178.32,122.05,194.56,22.06,22.58,22.58,47.54,49.69,21.21,-101.97,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,19040,-1496,2021-02-24T10:08:45.000Z,1614161325,2/24/2021 12:00:00 AM,10:08:45,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,129.2,103.2,78.4,0,0.1,3186.1,0,0,0,1,1,0,0,625.08,624.9,48.77,50.29,53.43,49.76,50.46,50.53,50,50.1,49.98,71.06,49.93,49.18,52.92,67.82,-32768,-32768,70.92,70.55,170.34,174.67,169.94,170.69,71.74,74.93,170.12,170.02,170.49,160.99,161.91,175,151.24,169.97,178.02,121.92,194.71,22.16,22.58,22.66,47.63,49.71,21.29,-101.97,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,19041,-1486,2021-02-24T10:08:55.000Z,1614161335,2/24/2021 12:00:00 AM,10:08:55,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,124.4,98.4,74.2,0,0.09,3186.1,0,0,0,1,1,0,0,625.01,625.11,48.72,50.17,53.33,49.64,50.24,50.46,49.9,50.07,49.9,71.13,50.31,49.47,53.21,67.9,-32768,-32768,71.09,70.29,169.99,174.2,169.84,170.64,71.69,74.83,170.12,170.12,170.44,160.79,162.11,175.12,151.04,170.14,177.9,121.58,194.56,22.23,22.81,22.98,47.66,49.73,21.21,-102.01,0,NA
