File,rowID,Process Time [s],DateTime,Timestamp,CurrentDate,CurrentTime,CurrentState,ToolID,DimerLotID,Batch,OperatorID,BoatQTY,BatchQuality,SurfaceArea,Thickness,DimerGrams,CounterRun,VCH_A_10T,VCH_B_10T,CCH_1T,CCH_Pirani,Foreline,Run_Time,Maint_Time,VA1,VCTE,VCH,VCT,VGVA,VGVB,PyroA_UpperLowerC,PyroB_UpperLowerC,PyroA_HeaterC,PyroB_HeaterC,PyroY_HeaterC,PyroA_CF75C,PyroB_CF75C,VCH_A_DoorHeaterC,VCH_B_DoorHeaterC,VCH_A_RearHeaterC,VCH_B_RearHeaterC,VCH_A_DoorC,VCH_B_DoorC,VCH_A_FlangeHeaterC,VCH_B_FlangeHeaterC,VCH_A_PipeHeaterC,VCH_B_PipeHeaterC,BandA_FrntHeaterC,BandB_FrntHeaterC,BandA_MidHeaterC,BandB_MidHeaterC,BandA_RearHeaterC,BandB_RearHeaterC,CCH_UpperHeaterC,CCH_LowerHeaterC,CCH_ExPipeHeaterC,CCH_InPipeHeaterC,CCH_CF75C,VGVA_HeaterC,VGVB_HeaterC,VCT_HeaterC,VA1_HeaterC,PT1A_FlangeHeaterC,PT1A_PipeHeaterC,PYROA_CF40_HeaterC,PT1B_FlangeHeaterC,PT1B_PipeHeaterC,PYROB_CF40_HeaterC,Port1_PipeheaterC,Port2_PipeheaterC,Port3_PipeheaterC,Port4_PipeheaterC,ColdTrap_CanisterC,Chiller_AmbientC,Chiller_OutputC,SmartPyro
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,8365,-140,2021-02-22T09:24:01.000Z,1613985841,2/22/2021 12:00:00 AM,09:24:01,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,10240.4,10242,1023.96,0,62.12,2946.51,0,0,0,1,1,0,0,625.04,624.9,51.79,50.19,53.7,49.66,50.12,51.57,49.95,50,50.05,79.54,50.05,50.8,52.44,66.62,-32768,-32768,68.62,69.93,170.02,171.12,172.32,169.99,68.79,76.3,170.04,170.02,169.92,177.9,167.75,172.77,150.24,169.94,180.65,100.5,201.06,22.41,22.61,22.71,48.89,49.59,14.32,-103.16,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,8366,-130,2021-02-22T09:24:11.000Z,1613985851,2/22/2021 12:00:00 AM,09:24:11,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,10241.2,10242,1023.96,0,28.58,2946.51,0,0,0,1,1,0,0,625.04,625.25,51.55,49.98,53.6,49.49,49.93,51.45,50.02,49.93,50.12,79.32,50.31,50.19,52.8,66.33,-32768,-32768,70.24,70.31,170.02,170.74,171.87,169.97,69.08,76.47,170.07,170.09,169.92,177.9,167.75,172.77,150.32,169.94,180.65,100.72,201.01,22.31,22.38,22.78,48.82,49.66,14.42,-103.16,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,8367,-119,2021-02-22T09:24:22.000Z,1613985862,2/22/2021 12:00:00 AM,09:24:22,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,10240.4,10241.6,1023.96,0,13.23,2946.51,0,0,0,1,1,0,0,624.9,625.11,51.59,49.78,53.43,49.4,49.78,51.23,49.95,50,50.1,79.3,50.56,49.64,52.51,66.11,-32768,-32768,72.12,70.09,170.09,170.39,170.87,170.02,69.78,77.29,169.89,170.02,169.97,177.75,167.75,172.69,150.39,169.87,180.65,100.86,201.06,22.23,22.53,22.78,48.99,49.83,14.42,-103.12,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,8368,-109,2021-02-22T09:24:32.000Z,1613985872,2/22/2021 12:00:00 AM,09:24:32,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,6056.8,6003.2,1023.96,0,5.86,2946.51,0,0,0,1,1,0,0,624.97,624.75,51.52,49.86,53.38,49.35,49.86,51.3,50.12,50.02,50.05,79.32,50.53,49.11,52.37,66.04,-32768,-32768,71.69,69.73,170.02,170.02,170.02,169.99,70.6,78.4,169.99,169.87,170.04,177.82,167.68,172.62,150.32,169.94,180.72,101.23,201.01,22.26,22.46,22.86,48.89,49.88,14.4,-103.08,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,8369,-99,2021-02-22T09:24:42.000Z,1613985882,2/22/2021 12:00:00 AM,09:24:42,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,3187.2,3140.4,1023.96,0,2.99,2946.51,0,0,0,1,1,0,0,625.04,625.04,51.57,49.9,53.48,49.52,49.93,51.38,50.05,50.02,50.05,79.18,50.41,49.06,52.58,65.82,-32768,-32768,73.14,70.02,169.94,169.59,169.52,169.92,71.13,79.71,169.97,170.02,169.89,177.67,167.63,172.72,150.39,169.94,180.62,101.37,200.78,22.18,22.61,22.83,48.91,49.76,14.32,-103.08,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,8370,-88,2021-02-22T09:24:53.000Z,1613985893,2/22/2021 12:00:00 AM,09:24:53,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,1761.2,1718,1023.92,0,1.61,2946.51,0,0,0,1,1,0,0,625.04,625.32,51.72,50.05,53.7,49.76,50.07,51.59,49.98,49.95,49.98,79.1,50.12,49.42,52.39,65.7,-32768,-32768,73.21,70.17,170.02,169.44,169.29,169.97,71.18,80.5,169.97,170.02,169.89,177.67,167.48,172.64,150.39,169.79,180.57,101.44,200.63,22.41,22.68,22.91,48.89,49.71,14.42,-103.08,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,8371,-77,2021-02-22T09:25:04.000Z,1613985904,2/22/2021 12:00:00 AM,09:25:04,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,1075.6,1032.4,935.32,0,0.93,2946.51,0,0,0,1,1,0,0,625.06,625.06,52.03,50.29,53.91,49.95,50.24,51.91,50.05,50.1,49.9,79.03,50.05,50.07,51.93,65.48,-32768,-32768,72.61,69.93,169.97,169.44,169.15,170.19,71.11,80.75,170.04,170.02,169.89,177.52,167.65,172.67,150.39,169.94,180.57,101.49,200.56,22.28,22.63,22.76,48.77,49.69,14.5,-103.08,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,8372,-67,2021-02-22T09:25:14.000Z,1613985914,2/22/2021 12:00:00 AM,09:25:14,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,730.4,686,603.76,0,0.6,2946.51,0,0,0,1,1,0,0,625.06,624.85,52.17,50.36,54.01,50.12,50.46,51.98,50.12,50.02,50,79.13,49.83,50.87,52.54,65.34,-32768,-32768,72.53,69.78,169.94,169.52,169.15,169.89,70.89,80.5,169.92,169.94,169.97,177.6,167.55,172.57,150.39,169.94,180.65,101.71,200.78,22.18,22.68,22.76,48.94,49.64,14.5,-103.08,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,8373,-57,2021-02-22T09:25:24.000Z,1613985924,2/22/2021 12:00:00 AM,09:25:24,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,532.8,488.8,412.32,0,0.41,2946.51,0,0,0,1,1,0,0,624.99,624.99,52.17,50.36,54.03,50.12,50.44,51.96,50.02,50,49.9,79.03,49.76,51.23,52.39,65.19,-32768,-32768,71.91,70.09,170.02,169.64,169.34,170.07,70.63,79.85,170.04,170.09,169.97,177.6,167.55,172.57,150.39,169.94,180.57,101.71,200.66,22.26,22.63,22.76,48.87,49.64,14.5,-103.12,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,8374,-47,2021-02-22T09:25:34.000Z,1613985934,2/22/2021 12:00:00 AM,09:25:34,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,405.2,361.2,298.76,0,0.3,2946.51,0,0,0,1,1,0,0,624.99,625.2,52.1,50.36,53.96,50.05,50.44,51.96,49.88,49.93,49.98,79.1,49.71,51.3,51.79,65.02,-32768,-32768,69.52,70.24,170.04,169.79,169.42,170.07,70.26,79.13,170.04,170.09,170.04,177.47,167.5,172.59,150.39,170.02,180.67,101.78,200.66,22.36,22.61,22.81,48.84,49.61,14.57,-103.16,0,NA
